id_requerente,nome_requerente,nacionalidade,endereco_completo,total_processos
1,"ZHIZHA, LIMITADA",Moçambicana,"Bairro José Machel , Inhambane, Moçambique",1
2,"RIM TRADING E INDÚSTRIA, LDA",Moçambicana,"Av. Eduardo Mondlane nº 488, Maputo, Maputo Cidade, Moçambique",1
3,"CASA BAKALI, EI",Moçambicana,"Av. Samora Moisés Machel, nº 344, Maputo, Maputo Cidade, Moçambique",1
4,"ASAMOC-TRANSPORTES DE MOÇAMBIQUE, S.A.",Moçambicana,"Rua da Igreja nº 2A, Bairro Central, Distrito Municipal Kampfumo, Maputo, Maputo Cidade, Moçambique",1
5,"DUMBA MICROBANCO, SA",Moçambicana,"Rua da Imprensa, n° 256, R/C, Sobrelojas 3&4, Prédio 33 andares, Maputo, Maputo Cidade, Moçambique",1
6,"MATCOM ENTERPRISE SOCIEDADE UNIPESSOAL, LDA",Moçambicana,"Rua Vila Namwali, n° 48, 1° Andar, Bairro Malhangalene, Maputo, Maputo Cidade, Moçambique",1
7,"PRIME CARE INDUSTRIES, LDA",Moçambicana,"Rua 7 de Abril, n° 22148, Matola, Maputo Província, Moçambique",1
8,"HENG TAI, LDA",Moçambicana,"Av. das Indústrias, Parcela n° 24, Matola, Maputo Província, Moçambique",2
9,ASSOCIAÇÃO RENASCER MOÇAMBIQUE,Moçambicana,"Av. Kwame Nkrumah, n° 1069, Maputo, Maputo Cidade, Moçambique",1
10,SHIELD CHEMICALS (PROPRIETARY) LIMITED,Sul Africana,"Corner London and Antwerp Street, Apex, Benoni, Gauteng, South Africa",1
11,"PRINCE FOOD INDÚSTRIA, LDA",Moçambicana,"Rua Sousa Araujo, nº 3505, Beira, Sofala, Moçambique",1
12,"DATAPROXY TECHNOLOGY, LIMITADA",Moçambicana,"Av. da Zâmbia, nº 61, Maputo, Maputo Cidade, Moçambique",1
13,"INTERACTIVE - SOLUÇÕES TECNOLÓGICAS, LDA",Moçambicana,"Rua Timor Leste, nr. 108, Maputo, Maputo Cidade, Moçambique",1
14,"HAPPY TOUR (MOZ), LDA",Moçambicana,"Rua nº 54, Nacala Porto Mutiva Maiaia , Nampula, Nampula, Moçambique",1
15,ASSOCIAÇÃO GERAÇÃO 8 DE MARÇO,Moçambicana,"Av. Ahmed Sékou Touré, nº 974, Maputo, Maputo Cidade, Moçambique",5
16,"GOFUEL TRACKNG SYSTEM, LIMITADA",Moçambicana,"Rua Orlando Mendes, nº 204, R/C, Maputo, Maputo Cidade, Moçambique",4
17,UNIPRO EDITORA LTDA,Brasileira,"Estrada Adhemar Bebiano, No. 3610, Inhaúma, Rio de Janeiro, 20766720, Inhaúma, Rio de Janeiro, Brasil",3
18,"ITAU MILLING (PROPRIETARY) LIMITED",Sul Africana,"46 Gemsbok Street, Quaggafontein, Bloemfontein, South Africa",1
19,ASPEN PHARMACARE HOLDING LIMITED,Sul Africana,"Building 8 Healthcare Park, Woodlands Drive, Woodmead, Sandton, Gauteng, South Africa",4
20,VITAL LIFE SCIENCES (PTY) LTD,Sul Africana,"19 Rembrant Street, Petervale, Sandton, 2151, South Africa",1
21,PAVIBETÃO -PAVIMENTOS INDUSTRIAIS EM BETÃO, LIMITADA,Moçambicana,"Zona Industrial da Matola Gare, T 174, Matola, Maputo Provincia, Moçambique",1
22,OK COMPUTERS,Moçambicana,"Av. Filipe Samuel Magaia, n° 165, Maputo, Maputo Cidade, Moçambique",1
23,"AGRICO MARKETING - SOCIEDADE UNIPESSOAL, LIMITADA",Moçambicana,"Av. do Trabalho, Faina, C, Bairro de Natikiri, Nampula, Nampula, Moçambique",2
24,TEC-CARE, LDA,Moçambicana,"Av. Ho Chi Min, n° 773 R/C, B. Central, Maputo, Maputo Cidade, Moçambique",8
25,"MULIBA - RESTAURANTE & SERVIÇOS, SOCIEDADE UNIPESSOAL, LIMITADA",Moçambicana,"Av. Patrice Lumumba, n° 93, Bairro Fomento, Posto Administrativo da Matola Sede, Matola, Maputo Província, Moçambique",1
26,"BOUTIQUE LUX, LDA",Moçambicana,"Av. 24 de Julho 1282 Bairro Central, Maputo, Maputo Cidade, Moçambique",1
27,"SIR COMÉRCIO INTERNATIONAL, LDA",Moçambicana,"Av. Karl Marx, n° 1128-1135, R/C, Maputo, Maputo Cidade, Moçambique",1
28,"MANING SERVIÇOS - SOCIEDADE UNIPESSOAL, LDA",Moçambicana,"Av. 24 de Julho, n° 2761, 5° Andar, Maputo, Maputo Cidade, Moçambique",1
29,DEEP DIVE LLC,Norte Americana,"1209 Orange Street, Wilmington, Delaware 19801, United States of America",1
30,"FUTAI INTERNACIONAL-SOCIEDADE UNIPESSOAL, LDA",Moçambicana,"Av. de Angola nº 1943, R/C, Bairro de Mafalala, Distrito Kamaxaqueni, Maputo, Maputo Cidade, Moçambique",2
31,"CASA DOCE COMERCIAL, EI",Moçambicana,"Talhão nº 25, Parcela nº 71680/1/A/ Zimpeto, Maputo, Maputo Cidade, Moçambique",1
32,LUCKY FIBRES LIMITED,Nigeriana,"Km 5, Itokin Road, Itamope Ikorodu, Lagos, Nigeria",1
33,LX SALES, LDA,Moçambicana,"Av. Vlademir Lenine nº 1812, Maputo, Maputo Cidade, Moçambique",1
34,TÉCNICA INDUSTRIAL MOÇAMBIQUE, LDA,Moçambicana,"Av. de Angola, 2119, Maputo, Maputo Cidade, Moçambique",9
35,"SCHIAU HOLDINGS - SOCIEDADE UNIPESSOAL, LDA",Moçambicana,"EN1, Michafutene, Marracuene, Maputo Provincia, Moçambique",1
36,"MAFER COMERCIAL, LDA",Moçambicana,"Estrada Nacional nº 7, Vila de Moatize, Tete, Tete, Moçambique",1
37,BOUTIQUE MEIA LUA, LIMITADA,Moçambicana,"Rua Da Sé nº 144, Hotel Rovuma, Maputo, Maputo Cidade, Moçambique",1
38,BOOST MEDIA, SA,Moçambicana,"Rua do Kassuende, 272, Maputo , Maputo Cidade, Moçambique",1
39,"MUST ENERGY (GUANGDONG) TECHNOLOGY CO.,LTD.",Chinesa,"1-5,7,9,10 floor N°8 Building N° 115 Zhangcha Road 1, Foshan City, Chancheng District, Guandong, China",1
40,VM, SA,Moçambicana,"Edificio Vodacom, Rua dos Desportistas, n° 649, Maputo , Maputo Cidade, Moçambique",1
41,"BOMBANE, INDÚSTRIA & COMÉRCIO ALIMENTAR - SOCIEDADE UNIPESSOAL, LIMITADA",Moçambicana,"Rua Simões da Silva, 2º Andar, Flat 2, Maputo , Maputo Cidade, Moçambique",1
42,TEC - CARE, LDA,Moçambicana,"Av. Ho Chi Min, n° 773 R/C, B. Central, Maputo, Maputo Cidade, Moçambique",2
43,"NOSSO COMERCIAL, LIMITADA",Moçambicana,"Av. FPLM, Bairro Muhala - Expansão, perto da padaria do povo, Nampula, Nampula, Moçambique",1
44,"X13 - SALÃO DE CABELELEIRO & SPA, E.I",Moçambicana,"Av. Base N'thinga, Nº 381, Bairro da Coop, Maputo Cidade, Moçambique",1
45,JF SERVIÇOS, LDA,Moçambicana,"Av. Municipal Cidade Baixa ao Lado, Bairro Maiaia , Nacala-Porto, Nampula, Moçambique",1
46,ARCON INVESTIMENTOS, EI,Moçambicana,Bairro Chambone - Cinco, Maxixe, Inhambane, Moçambique,1
47,VITA SOCIEDADE UNIPESSOAL, LDA,Moçambicana,"Rua General da Rocha nº 1826, Beira, Sofala, Moçambique",1
48,"SHAKRANI MOTORS' S, LIMITADA",Moçambicana,"Rua Artur Canto de Resende, n° 558, 4°, Bairro do Maquinino , Beira, Sofala, Moçambique",1
49,DAVID GÓMEZ SÁNCHEZ,Espanhola,"Calle José Lazaro Galdiano 6, 28036 Madrid (MADRID), Spain",2
50,BRANDS INFINITE (PTY) LTD,Sul Africana,"37 Visagie Street, Cnr Potgieter Street, Pretoria, 0002, South Africa",1
51,"CAPITAL HILL AUTO SPARES, EI",Moçambicana,"Rua dos Voluntários, nº 55, Maputo, Maputo Cidade, Moçambique",1
52,"H-PROJECTARTE, PROJECTOS E CONSTRUÇÕES, LIMITADA",Moçambicana,"Av. 24 de Julho, nº 2021, 1º Andar, Maputo, Maputo Cidade, Moçambique",1
53,DIANA OLIVEIRA CONSULTORIA E SERVIÇOS, EI,Moçambicana,"Rua Kamba Simango nº 235, Maputo, Maputo Cidade, Moçambique",1
54,WHITE SHARK RESORT SERVIÇOS & TURISMO, LIMITADA,Moçambicana,"Lighthouse Road, Ponta do Ouro, Distrito de Matutuine, Maputo, Maputo Província, Moçambique",1
55,"ZINEREO PHARMA, S.L.U",Espanhola,"A Relva, s/n 36410 o Porrino (Pontevedra) Espanha, Spain",3
56,BONUS IMPORT EXPORT, LDA,Moçambicana,"Marracuene, Bairro Muntanhana 329, Maputo, Maputo Província, Moçambique",1
57,MISSYSSI ORGANICS COMERCIAL, EI,Moçambicana,"Rua Simões da Silva, nº 111, B7FT02, Maputo, Maputo Cidade, Moçambique",1
58,METINDUSTRIAL (PTY) LTD,Sul Africana,"64 Liverpool Road, Industrial Sites, Benoni-South 1501, Gauteng Province, South Africa",6
59,DELIGHTFUL PASTRIES, LDA,Moçambicana,"Av. Moçambique, nº 2005, Q.34, Bairro Michafutene, Maputo, Maputo Cidade, Moçambique",1
60,INILDE DE SOUSA, SOCIEDADE UNIPESSOAL, LDA,Moçambicana,"Av. Emília Daüsse nº1392, 3º Andar, Maputo, Maputo Cidade, Moçambique",3
61,EB EBRAHIM BIHIKHA ADVOGADO E.I,Moçambicana,"Av. Amílcar Cabral, nº 1423, R/C, Maputo, Maputo Cidade, Moçambique",1
62,QANHOTO SOCIEDADE UNIPESSOAL, LDA,Moçambicana,"Av. Vladimir Lenine, nº 691, 6º Andar, Flat-1, Maputo, Maputo Cidade, Moçambique",1
63,PENTEL KABUSHIKI KAISHA (ALSO TRADING AS PENTEL CO., LTD),Japonesa,"7-2, Nihonbashi Koami-cho, Chuo-ku, Tokyo, Japan",2
64,F & F EVENTOS, LDA,Moçambicana,"Av. Vladimir Lenine, nº 2163, Bairro da Coop, Maputo, Maputo Cidade, Moçambique",1
65,TROPIGALIA, SA,Moçambicana,"Av. de Angola, n° 2732, Maputo, Maputo Cidade, Moçambique",2
66,DOUBLE A (1991) PUBLIC COMPANY LIMITED,Tailandesa,"1 Moo 2, Thatoom, Srimahaphote, Prachinburi, Thailand",1
67,TRUE NORTH, LDA,Moçambicana,"Rua Dar-Es-salaam, nº 265, Bairro da Sommerschield, Maputo, Maputo Cidade, Moçambique",6
68,CJ CORPORATION,Coreana,"12 Sowol-Ro 2-Gil, Jung-Gu, Seoul, Republic of Korea",1
